abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""05/31/1987 00:00""","238","cfs","","","=""05/31/1987 20:00""",
"BOCBGRCO","=""06/01/1987 00:00""","238","cfs","","","=""06/01/1987 23:45""",
"BOCBGRCO","=""06/02/1987 00:00""","259","cfs","","","=""06/02/1987 20:00""",
"BOCBGRCO","=""06/03/1987 00:00""","283","cfs","","","=""06/03/1987 20:00""",
"BOCBGRCO","=""06/04/1987 00:00""","323","cfs","","","=""06/04/1987 20:00""",
"BOCBGRCO","=""06/05/1987 00:00""","383","cfs","","","=""06/05/1987 20:00""",
"BOCBGRCO","=""06/06/1987 00:00""","458","cfs","","","=""06/06/1987 20:00""",
"BOCBGRCO","=""06/07/1987 00:00""","511","cfs","","","=""06/07/1987 23:45""",
"BOCBGRCO","=""06/08/1987 00:00""","445","cfs","","","=""06/08/1987 20:00""",
"BOCBGRCO","=""06/09/1987 00:00""","341","cfs","","","=""06/09/1987 23:45""",
"BOCBGRCO","=""06/10/1987 00:00""","281","cfs","","","=""06/10/1987 20:00""",
"BOCBGRCO","=""06/11/1987 00:00""","265","cfs","","","=""06/11/1987 20:00""",
"BOCBGRCO","=""06/12/1987 00:00""","262","cfs","","","=""06/12/1987 23:45""",
"BOCBGRCO","=""06/13/1987 00:00""","244","cfs","","","=""06/13/1987 23:45""",
"BOCBGRCO","=""06/14/1987 00:00""","331","cfs","","","=""06/14/1987 23:45""",
"BOCBGRCO","=""06/15/1987 00:00""","400","cfs","","","=""06/15/1987 20:00""",
"BOCBGRCO","=""06/16/1987 00:00""","413","cfs","","","=""06/16/1987 23:45""",
"BOCBGRCO","=""06/17/1987 00:00""","425","cfs","","","=""06/17/1987 20:00""",
"BOCBGRCO","=""06/18/1987 00:00""","387","cfs","","","=""06/18/1987 20:00""",
"BOCBGRCO","=""06/19/1987 00:00""","332","cfs","","","=""06/19/1987 23:45""",
